NAICS_Code,Description,2015,2014,2013,2012,2011
441,Motor vehicle and parts dealers ,528,497,428,393,310
442,Furniture and home furnishings stores,6712,5747,4745,3977,3326
443,Electronics and appliance stores ,20444,19848,18016,17251,15061
444,Building material and garden equipment and supplies dealers,6591,5283,4202,2961,2239
445,Food and beverage stores,1018,916,813,779,692
446,Health and personal care stores,4589,4177,3854,3528,2786
447,Gasoline stations,0,0,0,0,0
448,Clothing and clothing accessories stores,24234,21925,19765,16781,14406
451,Sporting goods hobby book and music stores,5387,5241,4943,5354,4849
452,General merchandise stores,22526,20158,18058,15865,14025
453,Miscellaneous store retailers,10660,10824,8034,9026,9121
454,Nonstore retailers,192120,161653,138729,119562,102104
