NAICS_Code,Description,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
441,   Motor vehicle and parts dealers,1095412,1020851,959294,886494,812938,742913,671772,785865,910139,899997,888307,866372,841588,818811,815579,796210,764204,688415,653817,627507,579715,541141,472916,418393
4411,   Automobile dealers,941339,875566,819290,752778,684505,621180,551996,649505,767403,760798,753071,738074,722260,706682,707676,687782,661820,593501,564658,543949,501684,468100,407126,358444
44111,New car dealers,842120,785142,735374,672550,608788,549473,486565,575593,687707,685622,681947,670553,659205,645759,649413,630123,606167,542559,518972,502340,464642,435661,379522,333801
44112,Used car dealers,99219,90424,83916,80228,75717,71707,65431,73912,79696,75176,71124,67521,63055,60923,58263,57659,55653,50942,45686,41609,37042,32439,27604,24643
4412,Other motor vehicle dealers,64740,59531,54996,49581,45469,43794,45550,60042,68001,66924,65171,61515,55112,49507,46811,44989,39735,34915,30615,27994,26128,23801,20980,18026
4413,Automotive parts access. and tire stores,89333,85754,85008,84135,82964,77939,74226,76318,74735,72275,70065,66783,64216,62622,61092,63439,62649,59999,58544,55564,51903,49240,44810,41923
442,Furniture and home furnishings stores,106779,99718,95349,91542,87586,85205,84749,98720,111144,112795,109120,103757,96736,94438,91484,91170,84294,77412,72715,67707,63470,60416,55456,52336
4421,Furniture stores,57398,53276,50886,49752,47658,46664,45810,52708,59288,60122,58745,55849,51719,51264,50572,50617,47022,44110,41877,39168,36977,35503,33299,31552
4422,Home furnishings stores,49381,46442,44463,41790,39928,38541,38939,46012,51856,52673,50375,47908,45017,43174,40912,40553,37272,33302,30838,28539,26493,24913,22157,20784
44221,Floor covering stores,19074,17703,16746,15483,14758,14573,15302,18764,22071,23154,22125,20907,19543,19025,19208,19519,18409,16961,16050,14639,13704,12765,11460,10597
44229,Other home furnishings stores,30307,28739,27717,26307,25170,23968,23637,27248,29785,29519,28250,27001,25474,24149,21704,21034,18863,16341,14788,13900,12789,12148,10697,10187
442299,All other home furnishings stores,28656,27248,26431,25195,24080,22868,22468,25696,28063,27724,26579,25579,24213,22897,20547,19916,17761,15288,13791,12851,11763,11189,9787,9303
443,Electronics and appliance stores,102108,103518,102998,102060,99928,97396,95364,105317,106599,105477,100461,93896,86442,83740,80240,82206,78977,74527,70061,68363,64770,57266,48614,42631
4431,Electronics and appliance stores,102108,103518,102998,102060,99928,97396,95364,105317,106599,105477,100461,93896,86442,83740,80240,82206,78977,74527,70061,68363,64770,57266,48614,42631
44311,Appl. TV and other elect. Stores,72603,73296,73159,72795,72174,71534,72869,80995,82129,81895,77374,72183,66051,63254,60158,58176,52149,46581,42992,43246,42080,37880,32548,28944
443111,Household appliance stores,17128,17089,17140,16415,15807,15456,15289,16988,17799,17745,16792,15608,14464,14205,13479,12630,12082,11099,10374,10215,9980,9045,9137,8437
443112,Radio TV and other elect. Stores,55475,56207,56019,56380,56367,56078,57580,64007,64330,64150,60582,56575,51587,49049,46679,45546,40067,35482,32618,33031,32100,28835,23411,20507
44312,Computer and software stores,27143,27779,27298,26501,25003,23104,19711,20594,20487,19761,19381,18122,17018,17248,16867,20645,23821,25307,24727,22823,20421,17108,13773,11385
444,Building mat. and garden equip. and supplies dealers,331644,318352,301797,281533,269480,260566,261637,301833,320854,334130,320802,295274,263463,248539,239379,228994,218290,202423,191063,176683,164561,157228,140964,130989
4441,Building mat. and supplies dealers,287618,274116,259545,242176,232649,225712,227474,263082,283847,299382,286604,261200,230971,217184,207020,197649,187916,172201,162068,150453,141028,135099,120426,110315
44412,Paint and wallpaper stores,10710,10300,9451,9134,8423,7972,7956,9415,10166,10332,9842,8880,8478,8096,8589,8863,8713,8513,7691,7038,6455,5751,5153,4714
44413,Hardware stores,23105,22597,21030,20747,20041,18706,18667,20072,20509,19983,18881,18300,17674,16962,16539,16179,15586,14965,13952,13907,13718,13778,13000,12670
445,Food and beverage stores,685568,669165,640847,628205,609137,580530,568418,569276,547837,525232,508484,490380,474385,464856,462429,444764,433699,416525,409373,401073,390386,384340,374516,370513
4451,Grocery stores,613225,599603,574547,563645,547476,520750,510033,511222,491360,471699,457667,441136,427987,419813,418127,402515,394250,378188,372570,365547,356409,350523,341318,337370
44511,Supermarkets and other grocery (except convenience) stores,587881,573790,549062,539180,523371,498006,489028,488540,468364,448692,435523,418805,406274,397272,396538,381441,375401,359920,354112,346947,337784,331708,322511,318277
4452,Specialty food stores,21685,21276,20224,20195,19269,18379,18140,18550,18349,17517,17250,17055,15929,15149,14681,13742,12973,12955,12722,12369,11970,11716,11660,11456
4453,Beer wine and liquor stores,50658,48286,46076,44365,42392,41401,40245,39504,38128,36016,33567,32189,30469,29894,29621,28507,26476,25382,24081,23157,22007,22101,21538,21687
446,Health and personal care stores,315257,299263,281840,274000,271612,260435,252794,246573,237164,223336,210085,199290,192426,179983,166533,155234,142699,129583,118672,109557,101635,96363,92594,89705
4461,Health and personal care stores,315257,299263,281840,274000,271612,260435,252794,246573,237164,223336,210085,199290,192426,179983,166533,155234,142699,129583,118672,109557,101635,96363,92594,89705
44611,Pharmacies and drug stores,263468,250546,235548,229951,231249,222230,217260,210857,202284,191018,179170,169231,165524,153936,141772,130857,121282,108415,98823,91810,85840,81994,79707,77791
44613,Optical goods stores,10841,10643,10316,9957,10033,9346,8757,8353,8231,7581,7499,7156,6912,6818,6487,7228,6973,6943,6563,5859,5262,5286,4906,4907
447,Gasoline stations,443817,538790,549613,555419,533457,448349,391234,503639,451822,421976,378923,324006,275187,250619,251383,249816,212524,191727,199700,194425,181113,171222,162376,156324
448,Clothing and clothing access. Stores,255831,250409,244722,239493,228606,213286,204475,215583,221205,213189,200969,190253,178694,172304,167287,167674,159751,149151,140293,136581,131333,129083,124749,120103
4481,Clothing stores,187129,183125,178993,176131,168095,158276,151370,157702,161622,154546,145575,137289,128361,122834,119208,118097,111681,104128,97722,93712,90708,90161,88127,85370
44811,Men's clothing stores,8801,8870,8670,8272,7860,7285,7353,8351,8772,8844,8737,8566,8249,8112,8625,9507,9667,10196,10069,9546,9315,10032,9962,10179
44812,Women's clothing stores,41011,41575,41787,41794,40048,37690,36055,38402,40294,38809,37075,34954,32565,31246,31453,31447,29549,28332,27822,28238,28696,30585,32350,31815
44814,Family clothing stores,101357,98201,95406,92631,88272,84508,80924,82799,84592,81712,77292,72444,67494,64289,60150,58913,55318,50154,45243,42259,39999,38103,35297,33146
44819,Other clothing stores,16788,15459,14486,13941,12671,11704,11356,11764,12003,11042,10144,9983,9223,8766,8888,8815,8247,7470,7321,7110,6610,5992,5521,5295
4482,Shoe stores,34521,33451,32516,31039,29260,27233,25646,26975,26811,26682,25263,23685,23167,23201,22884,22875,22690,22238,21450,21235,20341,19907,19028,18616
4483,Jewelry luggage and leather goods stores,34181,33833,33213,32323,31251,27777,27459,30906,32772,31961,30131,29279,27166,26269,25195,26702,25380,22785,21121,21634,20284,19015,17594,16117
44831,Jewelry stores,31505,31212,30451,29862,29050,25909,25698,28993,30820,30103,28421,27623,25493,24638,23561,24821,23691,21271,19629,20169,19007,17852,16429,15045
451,Sporting goods hobby book and music stores,87355,85466,84578,82981,80697,80420,80213,83628,84651,83148,80889,79284,76767,76680,76836,75808,72458,68645,65288,63768,60642,57249,52091,49026
4511,Sporting goods hobby and musical instrument stores,73779,71423,70286,67743,63820,61901,60831,62463,62457,60229,56965,55000,53012,52652,52278,51444,48613,45810,43682,42913,40631,38932,35453,33663
